sample	tissue	type	sample_type
GTEX-PWOO-0006-SM-2I3E3	DLBC	DLBC_normal_GTEx	normal
GTEX-OOBJ-0006-SM-2I3F4	DLBC	DLBC_normal_GTEx	normal
GTEX-ZDXO-0006-SM-4WKGF	DLBC	DLBC_normal_GTEx	normal
GTEX-11OC5-0006-SM-5N9FA	DLBC	DLBC_normal_GTEx	normal
GTEX-XLM4-0005-SM-4AT4P	DLBC	DLBC_normal_GTEx	normal
GTEX-YF7O-0004-SM-4W1ZT	DLBC	DLBC_normal_GTEx	normal
GTEX-Y114-0002-SM-4TT78	DLBC	DLBC_normal_GTEx	normal
GTEX-QLQW-0005-SM-2S1RA	DLBC	DLBC_normal_GTEx	normal
GTEX-XMD2-0006-SM-4WWEG	DLBC	DLBC_normal_GTEx	normal
GTEX-WRHU-0006-SM-3MJF6	DLBC	DLBC_normal_GTEx	normal
GTEX-S4UY-0006-SM-3K2A7	DLBC	DLBC_normal_GTEx	normal
GTEX-WXYG-0004-SM-4MVOS	DLBC	DLBC_normal_GTEx	normal
GTEX-SE5C-0006-SM-4BRW5	DLBC	DLBC_normal_GTEx	normal
GTEX-T5JC-0001-SM-3NMAK	DLBC	DLBC_normal_GTEx	normal
GTEX-R55F-0005-SM-2TF4W	DLBC	DLBC_normal_GTEx	normal
GTEX-QDT8-0006-SM-5SI8N	DLBC	DLBC_normal_GTEx	normal
GTEX-N7MT-0007-SM-3GACQ	DLBC	DLBC_normal_GTEx	normal
GTEX-XUW1-0005-SM-4BOQ7	DLBC	DLBC_normal_GTEx	normal
GTEX-RU1J-0006-SM-2TF6M	DLBC	DLBC_normal_GTEx	normal
GTEX-R3RS-0005-SM-3GAEH	DLBC	DLBC_normal_GTEx	normal
GTEX-QESD-0006-SM-2I5G6	DLBC	DLBC_normal_GTEx	normal
GTEX-139TS-0005-SM-5NQC1	DLBC	DLBC_normal_GTEx	normal
GTEX-ZC5H-0005-SM-4WAXM	DLBC	DLBC_normal_GTEx	normal
GTEX-X4EO-0006-SM-3P5ZF	DLBC	DLBC_normal_GTEx	normal
GTEX-SNOS-0006-SM-32PLH	DLBC	DLBC_normal_GTEx	normal
GTEX-14A6H-0006-SM-5NQ7W	DLBC	DLBC_normal_GTEx	normal
GTEX-WCDI-0002-SM-3P61U	DLBC	DLBC_normal_GTEx	normal
GTEX-13W3W-0005-SM-5SI9Y	DLBC	DLBC_normal_GTEx	normal
GTEX-X585-0002-SM-46MVA	DLBC	DLBC_normal_GTEx	normal
GTEX-ZQG8-0001-SM-4YCDH	DLBC	DLBC_normal_GTEx	normal
GTEX-11VI4-0001-SM-5S2OI	DLBC	DLBC_normal_GTEx	normal
GTEX-12WSC-0005-SM-5MR3H	DLBC	DLBC_normal_GTEx	normal
GTEX-XUYS-0002-SM-47JXL	DLBC	DLBC_normal_GTEx	normal
